REAPER ACTIONS WITH DESCRIPTIONS
Format: ActionID|Description
57|Track: Toggle record arm for track 05
58|Track: Set mute for track 05 (MIDI CC/OSC only)
59|Track: Set solo for track 05 (MIDI CC/OSC only)
60|Track: Set volume for track 06 (MIDI CC/OSC only)
61|Track: Set pan for track 06 (MIDI CC/OSC only)
62|Track: Toggle mute for track 06
63|Track: Toggle solo for track 06
64|Track: Toggle FX bypass for track 06
65|Track: Toggle record arm for track 06
66|Track: Set mute for track 06 (MIDI CC/OSC only)
67|Track: Set solo for track 06 (MIDI CC/OSC only)
68|Track: Set volume for track 07 (MIDI CC/OSC only)
69|Track: Set pan for track 07 (MIDI CC/OSC only)
70|Track: Toggle mute for track 07
71|Track: Toggle solo for track 07
72|Track: Toggle FX bypass for track 07
73|Track: Toggle record arm for track 07
74|Track: Set mute for track 07 (MIDI CC/OSC only)
75|Track: Set solo for track 07 (MIDI CC/OSC only)
76|Track: Set volume for track 08 (MIDI CC/OSC only)
77|Track: Set pan for track 08 (MIDI CC/OSC only)
78|Track: Toggle mute for track 08
79|Track: Toggle solo for track 08
80|Track: Toggle FX bypass for track 08
81|Track: Toggle record arm for track 08
82|Track: Set mute for track 08 (MIDI CC/OSC only)
83|Track: Set solo for track 08 (MIDI CC/OSC only)
84|Track: Set volume for track 09 (MIDI CC/OSC only)
85|Track: Set pan for track 09 (MIDI CC/OSC only)
86|Track: Toggle mute for track 09
87|Track: Toggle solo for track 09
88|Track: Toggle FX bypass for track 09
89|Track: Toggle record arm for track 09
90|Track: Set mute for track 09 (MIDI CC/OSC only)
91|Track: Set solo for track 09 (MIDI CC/OSC only)
92|Track: Set volume for track 10 (MIDI CC/OSC only)
93|Track: Set pan for track 10 (MIDI CC/OSC only)
94|Track: Toggle mute for track 10
95|Track: Toggle solo for track 10
96|Track: Toggle FX bypass for track 10
97|Track: Toggle record arm for track 10
98|Track: Set mute for track 10 (MIDI CC/OSC only)
99|Track: Set solo for track 10 (MIDI CC/OSC only)
100|Track: Set volume for track 11 (MIDI CC/OSC only)
101|Track: Set pan for track 11 (MIDI CC/OSC only)
102|Track: Toggle mute for track 11
103|Track: Toggle solo for track 11
104|Track: Toggle FX bypass for track 11
105|Track: Toggle record arm for track 11
106|Track: Set mute for track 11 (MIDI CC/OSC only)
107|Track: Set solo for track 11 (MIDI CC/OSC only)
108|Track: Set volume for track 12 (MIDI CC/OSC only)
109|Track: Set pan for track 12 (MIDI CC/OSC only)
110|Track: Toggle mute for track 12
111|Track: Toggle solo for track 12
112|Track: Toggle FX bypass for track 12
113|Track: Toggle record arm for track 12
114|Track: Set mute for track 12 (MIDI CC/OSC only)
115|Track: Set solo for track 12 (MIDI CC/OSC only)
116|Track: Set volume for track 13 (MIDI CC/OSC only)
117|Track: Set pan for track 13 (MIDI CC/OSC only)
118|Track: Toggle mute for track 13
119|Track: Toggle solo for track 13
120|Track: Toggle FX bypass for track 13
121|Track: Toggle record arm for track 13
122|Track: Set mute for track 13 (MIDI CC/OSC only)
123|Track: Set solo for track 13 (MIDI CC/OSC only)
124|Track: Set volume for track 14 (MIDI CC/OSC only)
125|Track: Set pan for track 14 (MIDI CC/OSC only)
126|Track: Toggle mute for track 14
127|Track: Toggle solo for track 14
128|Track: Toggle FX bypass for track 14
129|Track: Toggle record arm for track 14
130|Track: Set mute for track 14 (MIDI CC/OSC only)
131|Track: Set solo for track 14 (MIDI CC/OSC only)
132|Track: Set volume for track 15 (MIDI CC/OSC only)
133|Track: Set pan for track 15 (MIDI CC/OSC only)
134|Track: Toggle mute for track 15
135|Track: Toggle solo for track 15
136|Track: Toggle FX bypass for track 15
137|Track: Toggle record arm for track 15
138|Track: Set mute for track 15 (MIDI CC/OSC only)
139|Track: Set solo for track 15 (MIDI CC/OSC only)
140|Track: Set volume for track 16 (MIDI CC/OSC only)
141|Track: Set pan for track 16 (MIDI CC/OSC only)
142|Track: Toggle mute for track 16
143|Track: Toggle solo for track 16
144|Track: Toggle FX bypass for track 16
145|Track: Toggle record arm for track 16
146|Track: Set mute for track 16 (MIDI CC/OSC only)
147|Track: Set solo for track 16 (MIDI CC/OSC only)
148|Track: Set volume for track 17 (MIDI CC/OSC only)
149|Track: Set pan for track 17 (MIDI CC/OSC only)
150|Track: Toggle mute for track 17
151|Track: Toggle solo for track 17
152|Track: Toggle FX bypass for track 17
153|Track: Toggle record arm for track 17
154|Track: Set mute for track 17 (MIDI CC/OSC only)
155|Track: Set solo for track 17 (MIDI CC/OSC only)
156|Track: Set volume for track 18 (MIDI CC/OSC only)
157|Track: Set pan for track 18 (MIDI CC/OSC only)
158|Track: Toggle mute for track 18
159|Track: Toggle solo for track 18
160|Track: Toggle FX bypass for track 18
161|Track: Toggle record arm for track 18
162|Track: Set mute for track 18 (MIDI CC/OSC only)
163|Track: Set solo for track 18 (MIDI CC/OSC only)
164|Track: Set volume for track 19 (MIDI CC/OSC only)
165|Track: Set pan for track 19 (MIDI CC/OSC only)
166|Track: Toggle mute for track 19
167|Track: Toggle solo for track 19
168|Track: Toggle FX bypass for track 19
169|Track: Toggle record arm for track 19
170|Track: Set mute for track 19 (MIDI CC/OSC only)
171|Track: Set solo for track 19 (MIDI CC/OSC only)
172|Track: Set volume for track 20 (MIDI CC/OSC only)
173|Track: Set pan for track 20 (MIDI CC/OSC only)
174|Track: Toggle mute for track 20
175|Track: Toggle solo for track 20
176|Track: Toggle FX bypass for track 20
177|Track: Toggle record arm for track 20
178|Track: Set mute for track 20 (MIDI CC/OSC only)
179|Track: Set solo for track 20 (MIDI CC/OSC only)
180|Track: Set volume for track 21 (MIDI CC/OSC only)
181|Track: Set pan for track 21 (MIDI CC/OSC only)
182|Track: Toggle mute for track 21
183|Track: Toggle solo for track 21
184|Track: Toggle FX bypass for track 21
185|Track: Toggle record arm for track 21
186|Track: Set mute for track 21 (MIDI CC/OSC only)
187|Track: Set solo for track 21 (MIDI CC/OSC only)
188|Track: Set volume for track 22 (MIDI CC/OSC only)
189|Track: Set pan for track 22 (MIDI CC/OSC only)
190|Track: Toggle mute for track 22
191|Track: Toggle solo for track 22
192|Track: Toggle FX bypass for track 22
193|Track: Toggle record arm for track 22
194|Track: Set mute for track 22 (MIDI CC/OSC only)
195|Track: Set solo for track 22 (MIDI CC/OSC only)
196|Track: Set volume for track 23 (MIDI CC/OSC only)
197|Track: Set pan for track 23 (MIDI CC/OSC only)
198|Track: Toggle mute for track 23
199|Track: Toggle solo for track 23
200|Track: Toggle FX bypass for track 23
201|Track: Toggle record arm for track 23
202|Track: Set mute for track 23 (MIDI CC/OSC only)
203|Track: Set solo for track 23 (MIDI CC/OSC only)
204|Track: Set volume for track 24 (MIDI CC/OSC only)
205|Track: Set pan for track 24 (MIDI CC/OSC only)
206|Track: Toggle mute for track 24
207|Track: Toggle solo for track 24
208|Track: Toggle FX bypass for track 24
209|Track: Toggle record arm for track 24
210|Track: Set mute for track 24 (MIDI CC/OSC only)
211|Track: Set solo for track 24 (MIDI CC/OSC only)
212|Track: Set volume for track 25 (MIDI CC/OSC only)
213|Track: Set pan for track 25 (MIDI CC/OSC only)
214|Track: Toggle mute for track 25
215|Track: Toggle solo for track 25
216|Track: Toggle FX bypass for track 25
217|Track: Toggle record arm for track 25
218|Track: Set mute for track 25 (MIDI CC/OSC only)
219|Track: Set solo for track 25 (MIDI CC/OSC only)
220|Track: Set volume for track 26 (MIDI CC/OSC only)
221|Track: Set pan for track 26 (MIDI CC/OSC only)
222|Track: Toggle mute for track 26
223|Track: Toggle solo for track 26
224|Track: Toggle FX bypass for track 26
225|Track: Toggle record arm for track 26
226|Track: Set mute for track 26 (MIDI CC/OSC only)
227|Track: Set solo for track 26 (MIDI CC/OSC only)
228|Track: Set volume for track 27 (MIDI CC/OSC only)
229|Track: Set pan for track 27 (MIDI CC/OSC only)
230|Track: Toggle mute for track 27
231|Track: Toggle solo for track 27
232|Track: Toggle FX bypass for track 27
233|Track: Toggle record arm for track 27
234|Track: Set mute for track 27 (MIDI CC/OSC only)
235|Track: Set solo for track 27 (MIDI CC/OSC only)
236|Track: Set volume for track 28 (MIDI CC/OSC only)
237|Track: Set pan for track 28 (MIDI CC/OSC only)
238|Track: Toggle mute for track 28
239|Track: Toggle solo for track 28
240|Track: Toggle FX bypass for track 28
241|Track: Toggle record arm for track 28
242|Track: Set mute for track 28 (MIDI CC/OSC only)
243|Track: Set solo for track 28 (MIDI CC/OSC only)
244|Track: Set volume for track 29 (MIDI CC/OSC only)
245|Track: Set pan for track 29 (MIDI CC/OSC only)
246|Track: Toggle mute for track 29
247|Track: Toggle solo for track 29
248|Track: Toggle FX bypass for track 29
249|Track: Toggle record arm for track 29
250|Track: Set mute for track 29 (MIDI CC/OSC only)
251|Track: Set solo for track 29 (MIDI CC/OSC only)
252|Track: Set volume for track 30 (MIDI CC/OSC only)
253|Track: Set pan for track 30 (MIDI CC/OSC only)
254|Track: Toggle mute for track 30
255|Track: Toggle solo for track 30
256|Track: Toggle FX bypass for track 30
257|Track: Toggle record arm for track 30
258|Track: Set mute for track 30 (MIDI CC/OSC only)
259|Track: Set solo for track 30 (MIDI CC/OSC only)
260|Track: Set volume for track 31 (MIDI CC/OSC only)
261|Track: Set pan for track 31 (MIDI CC/OSC only)
262|Track: Toggle mute for track 31
263|Track: Toggle solo for track 31
264|Track: Toggle FX bypass for track 31
265|Track: Toggle record arm for track 31
266|Track: Set mute for track 31 (MIDI CC/OSC only)
267|Track: Set solo for track 31 (MIDI CC/OSC only)
268|Track: Set volume for track 32 (MIDI CC/OSC only)
269|Track: Set pan for track 32 (MIDI CC/OSC only)
270|Track: Toggle mute for track 32
271|Track: Toggle solo for track 32
272|Track: Toggle FX bypass for track 32
273|Track: Toggle record arm for track 32
274|Track: Set mute for track 32 (MIDI CC/OSC only)
275|Track: Set solo for track 32 (MIDI CC/OSC only)
276|Track: Set volume for track 33 (MIDI CC/OSC only)
277|Track: Set pan for track 33 (MIDI CC/OSC only)
278|Track: Toggle mute for track 33
279|Track: Toggle solo for track 33
280|Track: Toggle FX bypass for track 33
281|Track: Toggle record arm for track 33
282|Track: Set mute for track 33 (MIDI CC/OSC only)
283|Track: Set solo for track 33 (MIDI CC/OSC only)
284|Track: Set volume for track 34 (MIDI CC/OSC only)
285|Track: Set pan for track 34 (MIDI CC/OSC only)
286|Track: Toggle mute for track 34
287|Track: Toggle solo for track 34
288|Track: Toggle FX bypass for track 34
289|Track: Toggle record arm for track 34
290|Track: Set mute for track 34 (MIDI CC/OSC only)
291|Track: Set solo for track 34 (MIDI CC/OSC only)
292|Track: Set volume for track 35 (MIDI CC/OSC only)
293|Track: Set pan for track 35 (MIDI CC/OSC only)
294|Track: Toggle mute for track 35
295|Track: Toggle solo for track 35
296|Track: Toggle FX bypass for track 35
297|Track: Toggle record arm for track 35
298|Track: Set mute for track 35 (MIDI CC/OSC only)
299|Track: Set solo for track 35 (MIDI CC/OSC only)
300|Track: Set volume for track 36 (MIDI CC/OSC only)
301|Track: Set pan for track 36 (MIDI CC/OSC only)
302|Track: Toggle mute for track 36
303|Track: Toggle solo for track 36
304|Track: Toggle FX bypass for track 36
305|Track: Toggle record arm for track 36
306|Track: Set mute for track 36 (MIDI CC/OSC only)
307|Track: Set solo for track 36 (MIDI CC/OSC only)
308|Track: Set volume for track 37 (MIDI CC/OSC only)
309|Track: Set pan for track 37 (MIDI CC/OSC only)
310|Track: Toggle mute for track 37
311|Track: Toggle solo for track 37
312|Track: Toggle FX bypass for track 37
313|Track: Toggle record arm for track 37
314|Track: Set mute for track 37 (MIDI CC/OSC only)
315|Track: Set solo for track 37 (MIDI CC/OSC only)
316|Track: Set volume for track 38 (MIDI CC/OSC only)
317|Track: Set pan for track 38 (MIDI CC/OSC only)
318|Track: Toggle mute for track 38
319|Track: Toggle solo for track 38
320|Track: Toggle FX bypass for track 38
321|Track: Toggle record arm for track 38
322|Track: Set mute for track 38 (MIDI CC/OSC only)
323|Track: Set solo for track 38 (MIDI CC/OSC only)
324|Track: Set volume for track 39 (MIDI CC/OSC only)
325|Track: Set pan for track 39 (MIDI CC/OSC only)
326|Track: Toggle mute for track 39
327|Track: Toggle solo for track 39
328|Track: Toggle FX bypass for track 39
329|Track: Toggle record arm for track 39
330|Track: Set mute for track 39 (MIDI CC/OSC only)
331|Track: Set solo for track 39 (MIDI CC/OSC only)
332|Track: Set volume for track 40 (MIDI CC/OSC only)
333|Track: Set pan for track 40 (MIDI CC/OSC only)
334|Track: Toggle mute for track 40
335|Track: Toggle solo for track 40
336|Track: Toggle FX bypass for track 40
337|Track: Toggle record arm for track 40
338|Track: Set mute for track 40 (MIDI CC/OSC only)
339|Track: Set solo for track 40 (MIDI CC/OSC only)
340|Track: Set volume for track 41 (MIDI CC/OSC only)
341|Track: Set pan for track 41 (MIDI CC/OSC only)
342|Track: Toggle mute for track 41
343|Track: Toggle solo for track 41
344|Track: Toggle FX bypass for track 41
345|Track: Toggle record arm for track 41
346|Track: Set mute for track 41 (MIDI CC/OSC only)
347|Track: Set solo for track 41 (MIDI CC/OSC only)
348|Track: Set volume for track 42 (MIDI CC/OSC only)
349|Track: Set pan for track 42 (MIDI CC/OSC only)
350|Track: Toggle mute for track 42
351|Track: Toggle solo for track 42
352|Track: Toggle FX bypass for track 42
353|Track: Toggle record arm for track 42
354|Track: Set mute for track 42 (MIDI CC/OSC only)
355|Track: Set solo for track 42 (MIDI CC/OSC only)
356|Track: Set volume for track 43 (MIDI CC/OSC only)
357|Track: Set pan for track 43 (MIDI CC/OSC only)
358|Track: Toggle mute for track 43
359|Track: Toggle solo for track 43
360|Track: Toggle FX bypass for track 43
361|Track: Toggle record arm for track 43
362|Track: Set mute for track 43 (MIDI CC/OSC only)
363|Track: Set solo for track 43 (MIDI CC/OSC only)
364|Track: Set volume for track 44 (MIDI CC/OSC only)
365|Track: Set pan for track 44 (MIDI CC/OSC only)
366|Track: Toggle mute for track 44
367|Track: Toggle solo for track 44
368|Track: Toggle FX bypass for track 44
369|Track: Toggle record arm for track 44
370|Track: Set mute for track 44 (MIDI CC/OSC only)
371|Track: Set solo for track 44 (MIDI CC/OSC only)
372|Track: Set volume for track 45 (MIDI CC/OSC only)
373|Track: Set pan for track 45 (MIDI CC/OSC only)
374|Track: Toggle mute for track 45
375|Track: Toggle solo for track 45
376|Track: Toggle FX bypass for track 45
377|Track: Toggle record arm for track 45
378|Track: Set mute for track 45 (MIDI CC/OSC only)
379|Track: Set solo for track 45 (MIDI CC/OSC only)
380|Track: Set volume for track 46 (MIDI CC/OSC only)
381|Track: Set pan for track 46 (MIDI CC/OSC only)
382|Track: Toggle mute for track 46
383|Track: Toggle solo for track 46
384|Track: Toggle FX bypass for track 46
385|Track: Toggle record arm for track 46
386|Track: Set mute for track 46 (MIDI CC/OSC only)
387|Track: Set solo for track 46 (MIDI CC/OSC only)
388|Track: Set volume for track 47 (MIDI CC/OSC only)
389|Track: Set pan for track 47 (MIDI CC/OSC only)
390|Track: Toggle mute for track 47
391|Track: Toggle solo for track 47
392|Track: Toggle FX bypass for track 47
393|Track: Toggle record arm for track 47
394|Track: Set mute for track 47 (MIDI CC/OSC only)
395|Track: Set solo for track 47 (MIDI CC/OSC only)
396|Track: Set volume for track 48 (MIDI CC/OSC only)
397|Track: Set pan for track 48 (MIDI CC/OSC only)
398|Track: Toggle mute for track 48
399|Track: Toggle solo for track 48
400|Track: Toggle FX bypass for track 48
401|Track: Toggle record arm for track 48
402|Track: Set mute for track 48 (MIDI CC/OSC only)
403|Track: Set solo for track 48 (MIDI CC/OSC only)
404|Track: Set volume for track 49 (MIDI CC/OSC only)
405|Track: Set pan for track 49 (MIDI CC/OSC only)
406|Track: Toggle mute for track 49
407|Track: Toggle solo for track 49
408|Track: Toggle FX bypass for track 49
409|Track: Toggle record arm for track 49
410|Track: Set mute for track 49 (MIDI CC/OSC only)
411|Track: Set solo for track 49 (MIDI CC/OSC only)
412|Track: Set volume for track 50 (MIDI CC/OSC only)
413|Track: Set pan for track 50 (MIDI CC/OSC only)
414|Track: Toggle mute for track 50
415|Track: Toggle solo for track 50
416|Track: Toggle FX bypass for track 50
417|Track: Toggle record arm for track 50
418|Track: Set mute for track 50 (MIDI CC/OSC only)
419|Track: Set solo for track 50 (MIDI CC/OSC only)
420|Track: Set volume for track 51 (MIDI CC/OSC only)
421|Track: Set pan for track 51 (MIDI CC/OSC only)
422|Track: Toggle mute for track 51
423|Track: Toggle solo for track 51
424|Track: Toggle FX bypass for track 51
425|Track: Toggle record arm for track 51
426|Track: Set mute for track 51 (MIDI CC/OSC only)
427|Track: Set solo for track 51 (MIDI CC/OSC only)
428|Track: Set volume for track 52 (MIDI CC/OSC only)
429|Track: Set pan for track 52 (MIDI CC/OSC only)
430|Track: Toggle mute for track 52
431|Track: Toggle solo for track 52
432|Track: Toggle FX bypass for track 52
433|Track: Toggle record arm for track 52
434|Track: Set mute for track 52 (MIDI CC/OSC only)
435|Track: Set solo for track 52 (MIDI CC/OSC only)
436|Track: Set volume for track 53 (MIDI CC/OSC only)
437|Track: Set pan for track 53 (MIDI CC/OSC only)
438|Track: Toggle mute for track 53
439|Track: Toggle solo for track 53
440|Track: Toggle FX bypass for track 53
441|Track: Toggle record arm for track 53
442|Track: Set mute for track 53 (MIDI CC/OSC only)
443|Track: Set solo for track 53 (MIDI CC/OSC only)
444|Track: Set volume for track 54 (MIDI CC/OSC only)
445|Track: Set pan for track 54 (MIDI CC/OSC only)
446|Track: Toggle mute for track 54
447|Track: Toggle solo for track 54
448|Track: Toggle FX bypass for track 54
449|Track: Toggle record arm for track 54
450|Track: Set mute for track 54 (MIDI CC/OSC only)
451|Track: Set solo for track 54 (MIDI CC/OSC only)
452|Track: Set volume for track 55 (MIDI CC/OSC only)
453|Track: Set pan for track 55 (MIDI CC/OSC only)
454|Track: Toggle mute for track 55
455|Track: Toggle solo for track 55
456|Track: Toggle FX bypass for track 55
457|Track: Toggle record arm for track 55
458|Track: Set mute for track 55 (MIDI CC/OSC only)
459|Track: Set solo for track 55 (MIDI CC/OSC only)
460|Track: Set volume for track 56 (MIDI CC/OSC only)
461|Track: Set pan for track 56 (MIDI CC/OSC only)
462|Track: Toggle mute for track 56
463|Track: Toggle solo for track 56
464|Track: Toggle FX bypass for track 56
465|Track: Toggle record arm for track 56
466|Track: Set mute for track 56 (MIDI CC/OSC only)
467|Track: Set solo for track 56 (MIDI CC/OSC only)
468|Track: Set volume for track 57 (MIDI CC/OSC only)
469|Track: Set pan for track 57 (MIDI CC/OSC only)
470|Track: Toggle mute for track 57
471|Track: Toggle solo for track 57
472|Track: Toggle FX bypass for track 57
473|Track: Toggle record arm for track 57
474|Track: Set mute for track 57 (MIDI CC/OSC only)
475|Track: Set solo for track 57 (MIDI CC/OSC only)
476|Track: Set volume for track 58 (MIDI CC/OSC only)
477|Track: Set pan for track 58 (MIDI CC/OSC only)
478|Track: Toggle mute for track 58
479|Track: Toggle solo for track 58
480|Track: Toggle FX bypass for track 58
481|Track: Toggle record arm for track 58
482|Track: Set mute for track 58 (MIDI CC/OSC only)
483|Track: Set solo for track 58 (MIDI CC/OSC only)
484|Track: Set volume for track 59 (MIDI CC/OSC only)
485|Track: Set pan for track 59 (MIDI CC/OSC only)
486|Track: Toggle mute for track 59
487|Track: Toggle solo for track 59
488|Track: Toggle FX bypass for track 59
489|Track: Toggle record arm for track 59
490|Track: Set mute for track 59 (MIDI CC/OSC only)
491|Track: Set solo for track 59 (MIDI CC/OSC only)
492|Track: Set volume for track 60 (MIDI CC/OSC only)
493|Track: Set pan for track 60 (MIDI CC/OSC only)
494|Track: Toggle mute for track 60
495|Track: Toggle solo for track 60
496|Track: Toggle FX bypass for track 60
497|Track: Toggle record arm for track 60
498|Track: Set mute for track 60 (MIDI CC/OSC only)
499|Track: Set solo for track 60 (MIDI CC/OSC only)
500|Track: Set volume for track 61 (MIDI CC/OSC only)
501|Track: Set pan for track 61 (MIDI CC/OSC only)
502|Track: Toggle mute for track 61
503|Track: Toggle solo for track 61
504|Track: Toggle FX bypass for track 61
505|Track: Toggle record arm for track 61
506|Track: Set mute for track 61 (MIDI CC/OSC only)
507|Track: Set solo for track 61 (MIDI CC/OSC only)
508|Track: Set volume for track 62 (MIDI CC/OSC only)
509|Track: Set pan for track 62 (MIDI CC/OSC only)
510|Track: Toggle mute for track 62
511|Track: Toggle solo for track 62
512|Track: Toggle FX bypass for track 62
513|Track: Toggle record arm for track 62
514|Track: Set mute for track 62 (MIDI CC/OSC only)
515|Track: Set solo for track 62 (MIDI CC/OSC only)
516|Track: Set volume for track 63 (MIDI CC/OSC only)
517|Track: Set pan for track 63 (MIDI CC/OSC only)
518|Track: Toggle mute for track 63
519|Track: Toggle solo for track 63
520|Track: Toggle FX bypass for track 63
521|Track: Toggle record arm for track 63
522|Track: Set mute for track 63 (MIDI CC/OSC only)
523|Track: Set solo for track 63 (MIDI CC/OSC only)
524|Track: Set volume for track 64 (MIDI CC/OSC only)
525|Track: Set pan for track 64 (MIDI CC/OSC only)
526|Track: Toggle mute for track 64
527|Track: Toggle solo for track 64
528|Track: Toggle FX bypass for track 64
529|Track: Toggle record arm for track 64
530|Track: Set mute for track 64 (MIDI CC/OSC only)
531|Track: Set solo for track 64 (MIDI CC/OSC only)
532|Track: Set volume for track 65 (MIDI CC/OSC only)
533|Track: Set pan for track 65 (MIDI CC/OSC only)
534|Track: Toggle mute for track 65
535|Track: Toggle solo for track 65
536|Track: Toggle FX bypass for track 65
537|Track: Toggle record arm for track 65
538|Track: Set mute for track 65 (MIDI CC/OSC only)
539|Track: Set solo for track 65 (MIDI CC/OSC only)
540|Track: Set volume for track 66 (MIDI CC/OSC only)
541|Track: Set pan for track 66 (MIDI CC/OSC only)
542|Track: Toggle mute for track 66
543|Track: Toggle solo for track 66
544|Track: Toggle FX bypass for track 66
545|Track: Toggle record arm for track 66
546|Track: Set mute for track 66 (MIDI CC/OSC only)
547|Track: Set solo for track 66 (MIDI CC/OSC only)
548|Track: Set volume for track 67 (MIDI CC/OSC only)
549|Track: Set pan for track 67 (MIDI CC/OSC only)
550|Track: Toggle mute for track 67
551|Track: Toggle solo for track 67
552|Track: Toggle FX bypass for track 67
553|Track: Toggle record arm for track 67
554|Track: Set mute for track 67 (MIDI CC/OSC only)
555|Track: Set solo for track 67 (MIDI CC/OSC only)
556|Track: Set volume for track 68 (MIDI CC/OSC only)
557|Track: Set pan for track 68 (MIDI CC/OSC only)
558|Track: Toggle mute for track 68
559|Track: Toggle solo for track 68
560|Track: Toggle FX bypass for track 68
561|Track: Toggle record arm for track 68
562|Track: Set mute for track 68 (MIDI CC/OSC only)
563|Track: Set solo for track 68 (MIDI CC/OSC only)
564|Track: Set volume for track 69 (MIDI CC/OSC only)
565|Track: Set pan for track 69 (MIDI CC/OSC only)
566|Track: Toggle mute for track 69
567|Track: Toggle solo for track 69
568|Track: Toggle FX bypass for track 69
569|Track: Toggle record arm for track 69
570|Track: Set mute for track 69 (MIDI CC/OSC only)
571|Track: Set solo for track 69 (MIDI CC/OSC only)
572|Track: Set volume for track 70 (MIDI CC/OSC only)
573|Track: Set pan for track 70 (MIDI CC/OSC only)
574|Track: Toggle mute for track 70
575|Track: Toggle solo for track 70
576|Track: Toggle FX bypass for track 70
577|Track: Toggle record arm for track 70
578|Track: Set mute for track 70 (MIDI CC/OSC only)
579|Track: Set solo for track 70 (MIDI CC/OSC only)
580|Track: Set volume for track 71 (MIDI CC/OSC only)
581|Track: Set pan for track 71 (MIDI CC/OSC only)
582|Track: Toggle mute for track 71
583|Track: Toggle solo for track 71
584|Track: Toggle FX bypass for track 71
585|Track: Toggle record arm for track 71
586|Track: Set mute for track 71 (MIDI CC/OSC only)
587|Track: Set solo for track 71 (MIDI CC/OSC only)
588|Track: Set volume for track 72 (MIDI CC/OSC only)
589|Track: Set pan for track 72 (MIDI CC/OSC only)
590|Track: Toggle mute for track 72
591|Track: Toggle solo for track 72
592|Track: Toggle FX bypass for track 72
593|Track: Toggle record arm for track 72
594|Track: Set mute for track 72 (MIDI CC/OSC only)
595|Track: Set solo for track 72 (MIDI CC/OSC only)
596|Track: Set volume for track 73 (MIDI CC/OSC only)
597|Track: Set pan for track 73 (MIDI CC/OSC only)
598|Track: Toggle mute for track 73
599|Track: Toggle solo for track 73
600|Track: Toggle FX bypass for track 73
601|Track: Toggle record arm for track 73
602|Track: Set mute for track 73 (MIDI CC/OSC only)
603|Track: Set solo for track 73 (MIDI CC/OSC only)
604|Track: Set volume for track 74 (MIDI CC/OSC only)
605|Track: Set pan for track 74 (MIDI CC/OSC only)
606|Track: Toggle mute for track 74
607|Track: Toggle solo for track 74
608|Track: Toggle FX bypass for track 74
609|Track: Toggle record arm for track 74
610|Track: Set mute for track 74 (MIDI CC/OSC only)
611|Track: Set solo for track 74 (MIDI CC/OSC only)
612|Track: Set volume for track 75 (MIDI CC/OSC only)
613|Track: Set pan for track 75 (MIDI CC/OSC only)
614|Track: Toggle mute for track 75
615|Track: Toggle solo for track 75
616|Track: Toggle FX bypass for track 75
617|Track: Toggle record arm for track 75
618|Track: Set mute for track 75 (MIDI CC/OSC only)
619|Track: Set solo for track 75 (MIDI CC/OSC only)
620|Track: Set volume for track 76 (MIDI CC/OSC only)
621|Track: Set pan for track 76 (MIDI CC/OSC only)
